director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Joss Whedon,654,141,0,19000,Robert Downey Jr.,26000,458991599,Chris Hemsworth,Avengers: Age of Ultron ,510462,95000,Scarlett Johansson,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1129,English,USA,PG-13,250000000,2015,21000,7.4,119000
James Cameron,723,178,7000,877,Joel David Moore,1000,760505847,CCH Pounder,Avatar ,929206,4876,Wes Studi,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3078,English,UK,PG-13,237000000,2009,941,7.8,34000
Gore Verbinski,302,169,575,1000,Orlando Bloom,40000,309404152,Johnny Depp,Pirates of the Caribbean: At World's End ,494847,48427,Jack Davenport,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1243,English,USA,PG-13,300000000,2007,5000,7.1,0
Sam Mendes,629,148,0,171,Rory Kinnear,11000,200074175,Christoph Waltz,Spectre ,306163,11739,Stephanie Sigman,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,1032,English,UK,PG-13,245000000,2015,420,6.8,88000
Nathan Greno,327,100,17,296,Donna Murphy,951,200807262,Brad Garrett,Tangled ,313796,2226,M.C. Gainey,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,396,English,USA,PG,260000000,2010,563,7.8,29000
Andrew Stanton,466,132,476,649,Samantha Morton,2000,73058679,James Purefoy,John Carter ,219541,3905,Daryl Sabara,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,754,English,USA,PG-13,250000000,2012,649,6.6,24000
Christopher Nolan,816,164,22000,23000,Christian Bale,27000,448130642,Tom Hardy,The Dark Knight Rises ,1213406,106878,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2729,English,USA,PG-13,250000000,2012,23000,8.5,164000
Gore Verbinski,459,150,575,2000,William Fichtner,40000,89289910,Johnny Depp,The Lone Ranger ,189816,51804,Ruth Wilson,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,721,English,USA,PG-13,215000000,2013,6000,6.5,48000
Sam Raimi,393,156,0,4000,James Franco,24000,336530303,J.K. Simmons,Spider-Man 3 ,403316,46005,Kirsten Dunst,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1908,English,USA,PG-13,258000000,2007,11000,6.2,0
Anthony Russo,585,147,97,11000,Scarlett Johansson,21000,408080554,Robert Downey Jr.,Captain America: Civil War ,401935,66821,Chris Evans,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1172,English,USA,PG-13,250000000,2016,19000,7.9,80000
Zack Snyder,727,183,0,1000,Alan D. Purwin,15000,330249062,Henry Cavill,Batman v Superman: Dawn of Justice ,465913,20504,Holly Hunter,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3245,English,USA,PG-13,250000000,2016,2000,6.7,204000
Peter Jackson,644,182,8000,628,James Nesbitt,972,303001229,Adam Brown,The Hobbit: An Unexpected Journey ,664700,4219,Dean O'Gorman,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1379,English,USA,PG-13,180000000,2012,786,7.9,167000
David Yates,382,153,315,10000,Daniel Radcliffe,25000,301956980,Alan Rickman,Harry Potter and the Half-Blood Prince ,347993,49789,Rupert Grint,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,983,English,UK,PG,250000000,2009,11000,7.5,10000
